,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
H,-1.0,-1.0,-1.0,-1.0,0.8231733756793892,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8739956074999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9028747556250001,0.66610738375,0.8267436328125,0.7305765,-1.0,-1.0,-1.0,0.8561665624999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9498846452499998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.92376742625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7783833625071311,-1.0,-1.0,0.8540367798249677,-1.0,-1.0,-1.0,-1.0,0.82316329375,-1.0,-1.0,-1.0,-1.0,1.0079225058333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
He,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Li,-1.0,-1.0,-1.0,-1.0,0.8716896863336786,0.7169504225000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7812797170263089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.815092155,-1.0,-1.0,0.73370725425,-1.0,0.7774581888967256,1.0225456415625,-1.0,1.1847837658333333,-1.0,0.677483078478662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5576033107802544,-1.0,-1.0,-1.0,-1.0,-1.0,0.7814329466666666,-1.0,-1.0,-1.0,0.6222836966872726,-1.0,0.29444679072212787,-1.0,-1.0,-1.0,-1.0,-1.0,0.6582490437296774,-1.0,0.9312404,-1.0,-1.0,1.1320594,-1.0,-1.0,-1.0,0.3258026319678942,0.25775349927319297,0.5141309937364997,-1.0,-1.0,0.4385521816245787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7555406175,-1.0,1.059799256875
Be,-1.0,-1.0,-1.0,-1.0,0.8077281793575382,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
B,0.8231733756793892,-1.0,0.8716896863336786,0.8077281793575382,-1.0,0.5595667239456917,0.863654530485236,-1.0,-1.0,-1.0,0.5980683457615005,0.5535689493376629,0.6409326374655501,0.21382544078272925,0.5398216396100751,-1.0,-1.0,-1.0,0.43802786030238483,0.4340642970263819,0.6164115334945831,0.5740446962765313,0.6089136267555022,0.6404927086730646,0.497676048652266,0.5901556479724585,0.614438480478996,0.6388978216737203,0.5823429348188817,0.6073411576492875,0.5392390587705413,-1.0,0.7869049274302817,-1.0,1.2673643680000002,-1.0,0.4531084393040013,0.5407402158853645,0.7417000342960929,-1.0,0.6912357145216033,0.6978585955694961,-1.0,0.7044658360088935,0.6856746842799506,0.708162358,0.8518536500000002,0.5572028154238879,0.6236233648077829,-1.0,0.8530162599042596,-1.0,0.9887914060000002,-1.0,-1.0,-1.0,0.7890538938620191,0.7910843804950818,0.7353268101852952,0.7163254832985928,-1.0,0.6347301283304433,0.7051386686030162,0.7967588495150019,0.7511901597786704,0.6955710319017906,0.7313510944409483,0.7485303197539769,0.6978634577515447,0.5039670311187107,0.6073923570727071,-1.0,0.4538481298114995,-1.0,-1.0,-1.0,-1.0,0.6969828762447076,0.7168008243252912,-1.0,0.8028121739643049,0.5297531810536061,0.8543170607198368
C,-1.0,-1.0,0.7169504225000001,-1.0,0.5595667239456917,-1.0,0.7711298537500001,-1.0,-1.0,-1.0,0.44210613125,-1.0,0.668045585297524,-1.0,-1.0,-1.0,-1.0,-1.0,0.5335877710277586,-1.0,0.7878371662695877,0.8079832017174144,0.7775285558080711,0.7574873809934918,0.6845662693688666,0.7617121406042808,0.7802408170119415,0.6741925125000001,0.659717086875,-1.0,0.6993776942705341,-1.0,0.7594024504699542,-1.0,-1.0,-1.0,0.4879404383251929,-1.0,0.8338478994586391,-1.0,0.8169013096353371,0.7801186662499999,-1.0,0.758748945,0.777955609232297,0.736927372995565,-1.0,-1.0,0.8461392068697225,-1.0,0.8199828845211619,-1.0,-1.0,-1.0,-1.0,-1.0,0.9474299509526709,0.69144216,0.9417657249770599,0.9409006299850482,-1.0,0.8032066315523355,1.015635185,0.8765960549027494,0.8100678064950202,0.8073940048075016,0.7711303032652348,0.8886793352221583,0.895021775,0.82668001375,0.8594746514960276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7704413024925718,0.8852865547565318,-1.0,0.8887432844405327,-1.0,0.8655757141
N,-1.0,-1.0,-1.0,-1.0,0.863654530485236,0.7711298537500001,-1.0,-1.0,0.9509468004905318,-1.0,0.7899676341666705,-1.0,0.7919581100012906,-1.0,0.4256486829155976,-1.0,0.6703868666294646,-1.0,0.5249161815750275,-1.0,0.8837710256214046,0.9806089603397501,0.9808538503622982,0.9677896749710463,0.7190198415501649,0.7625227465170159,0.87186696890625,0.8859116312499999,0.7565178789562785,-1.0,0.6740099596152449,-1.0,0.66521662,-1.0,-1.0,-1.0,-1.0,-1.0,0.947285791628817,-1.0,0.8496178774999998,0.896691085,-1.0,0.88284019,0.8663473100000001,-1.0,-1.0,-1.0,0.9152445766793585,-1.0,0.763745670343789,-1.0,-1.0,-1.0,0.85630452,-1.0,1.114756965796706,1.069076829260352,1.066249841241035,1.0647302417936844,-1.0,1.0460238020233859,1.0768191668602387,1.015352628520234,0.9500230265241093,0.9562173454540228,0.96332464915006,0.9236758560333171,0.8719871654173992,0.9734496154295318,0.9471516592937942,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8076163436934339,0.4593738296531571,0.9487663749999999,-1.0,0.9578540205302534
O,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
F,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9509468004905318,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9683001055356778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7567441158132826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5587521647496475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7212113334370963,-1.0,0.681308350659547,0.6365872368166361,-1.0,0.7055559887379078,0.901154647173998,0.6332194302929298,0.6137094512972393,0.6141336198601846,0.6777668963876263,0.6659930969816051,0.6672526219224822,-1.0,0.42925236847926973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.919815045246294
Ne,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Na,-1.0,-1.0,-1.0,-1.0,0.5980683457615005,0.44210613125,0.7899676341666705,-1.0,-1.0,-1.0,-1.0,-1.0,0.5906795286053155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3846902439874259,0.37318342649999997,0.47557011250000003,0.4930523781103922,0.60952594375,0.7082232336814558,0.781235879,0.459761005,0.6754432364554844,-1.0,0.37001110925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4979508431405586,-1.0,0.451944895,0.5463380525000001,-1.0,-1.0,0.52615887375,-1.0,-1.0,-1.0,0.5050264984159635,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4252244867336199,-1.0,0.6405822925,0.5263133289556613,-1.0,-1.0,-1.0,0.5990008760082084,0.4417117475,0.7104274766175604,0.6909818295193664,0.6643593633333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4158047881828329,-1.0,0.38368815,-1.0,0.7160876304166667
Mg,-1.0,-1.0,-1.0,-1.0,0.5535689493376629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.40280774941314323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.238048240922124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5538566146371532,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38207215800000005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Al,0.8739956074999999,-1.0,0.7812797170263089,-1.0,0.6409326374655501,0.668045585297524,0.7919581100012906,-1.0,-1.0,-1.0,0.5906795286053155,0.40280774941314323,-1.0,-1.0,0.6994005597083307,-1.0,0.1404054743837808,-1.0,0.6264425803988485,0.5972882899607559,0.4927919566242154,0.47507120408214426,0.42014886390476935,0.3372683368711645,0.43911533602011193,0.326867697235408,0.3762527188865946,0.36370492625780815,0.6798143492857144,0.23110264853442614,0.27542945463390067,-1.0,0.9457930429595667,-1.0,-1.0,-1.0,0.7967899499275821,1.030004384,0.5383984540338413,-1.0,0.7706317913468143,0.7554608862500001,-1.0,0.6368852014999999,0.4655077848575687,0.6013920849163293,0.7817001602500001,0.469988315801773,0.5255354618393019,-1.0,0.8564041994091515,-1.0,0.6314202129969154,-1.0,1.2329484705227391,1.0476147894632564,0.7481408440145786,0.7173508488399825,0.6470650651308693,0.6757682012471339,-1.0,0.5818312878128209,0.7876082853784494,0.6395212839540187,0.48173185270903995,0.6343651059326169,0.5690221423100751,0.6425603217450472,0.6500672604247677,0.6753315326543474,0.6716790181474378,-1.0,0.7896215318880312,1.0923374307880422,-1.0,-1.0,-1.0,0.6784060910130348,0.7544179979597956,-1.0,0.6493264866435606,1.0561386400000001,0.8553148600015895
Si,-1.0,-1.0,-1.0,-1.0,0.21382544078272925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1766825067755514,-1.0,-1.0,-1.0,-1.0,0.4117054648716276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3561563181976686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2482833002566283,-1.0,-1.0,-1.0,-1.0,0.408086427552557,-1.0,0.40709650114378404,-1.0,-1.0,-1.0,0.4778847288575163,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P,-1.0,-1.0,-1.0,-1.0,0.5398216396100751,-1.0,0.4256486829155976,-1.0,-1.0,-1.0,-1.0,-1.0,0.6994005597083307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43843209304452085,1.3985569100000002,-1.0,0.8191318928066358,-1.0,0.42308168150163433,-1.0,-1.0,-1.0,-1.0,0.8182291498915804,-1.0,0.4323888700000001,-1.0,-1.0,-1.0,-1.0,-1.0,0.4649588014118297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.964810483,-1.0,0.3217915573281224,-1.0,0.4591341012497263,-1.0,-1.0,-1.0,-1.0,-1.0,0.5472394260082465,0.45166895115024736,0.5516297603424966,0.5859949305552432,-1.0,0.5201110731036203,0.5887668153443347,0.5296288521200911,0.44077135550572927,0.3953023020224713,0.4538931330884896,0.4917190702825722,0.4522918837699695,0.48854052256702585,0.4916954966487758,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.613664742927186,-1.0,0.7155255443859424,0.800973927,0.5164063385134554
S,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34808693875157204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42604076719347017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6084644959166764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5108422940688682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cl,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6703868666294646,-1.0,-1.0,-1.0,-1.0,-1.0,0.1404054743837808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1556535217767981,0.207942497920575,0.303158586968414,-1.0,0.18609072248906008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12314887249999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1877584987929018,-1.0,0.13176315,-1.0,-1.0,-1.0,-1.0,-1.0,0.2458625351768681,-1.0,0.3750181421907584,0.35685626880671184,-1.0,0.36443365363121655,0.3472668623519801,0.35487043880806174,0.2539890574842945,0.26630895578985464,0.2789819710680827,0.3127247169754068,0.2683006880416238,0.38479964710996717,0.22020260706179634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3010410489959225,-1.0,-1.0,0.27440899621373405
Ar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
K,-1.0,-1.0,-1.0,-1.0,0.43802786030238483,0.5335877710277586,0.5249161815750275,-1.0,-1.0,-1.0,-1.0,-1.0,0.6264425803988485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6899297339144637,-1.0,0.8043090926665619,0.9044251262499999,-1.0,0.81502798125,-1.0,1.1361102774999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0548123925000001,-1.0,-1.0,-1.0,0.9424406385826657,-1.0,0.5990318677301862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4846152770566416,-1.0,0.5846952140203812,0.49267392315713976,0.6148318791677542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23607078425905922,-1.0,-1.0,-1.0,0.49977901633392263
